Inter Packet Delay,Inter Packet Delay,Actual Frequency[%],Normal Frequency[%],z,,
0.074709,0.000004,0.0040160643,0.4494307989,-0.1270995625,Mean,0.0335391888
0.000045,0.000004,0.0080321285,0.4494307989,-0.1270995625,Stdev,0.263849758
0.02727,0.000006,0.0120481928,0.4494337986,-0.1270919824,,
0.074447,0.000008,0.016064257,0.4494367982,-0.1270844023,,
0.006459,0.000009,0.0200803213,0.4494382981,-0.1270806123,,
0.000034,0.000009,0.0240963855,0.4494382981,-0.1270806123,,
0.000225,0.000009,0.0281124498,0.4494382981,-0.1270806123,,
0.000019,0.00001,0.0321285141,0.4494397979,-0.1270768223,,
0.000052,0.000011,0.0361445783,0.4494412978,-0.1270730322,,
0.000014,0.000011,0.0401606426,0.4494412978,-0.1270730322,,
3.458636,0.000011,0.0441767068,0.4494412978,-0.1270730322,,
0.007359,0.000011,0.0481927711,0.4494412978,-0.1270730322,,
0.000025,0.000011,0.0522088353,0.4494412978,-0.1270730322,,
0.000148,0.000011,0.0562248996,0.4494412978,-0.1270730322,,
0.007365,0.000011,0.0602409639,0.4494412978,-0.1270730322,,
0.021526,0.000011,0.0642570281,0.4494412978,-0.1270730322,,
0.000021,0.000011,0.0682730924,0.4494412978,-0.1270730322,,
0.259484,0.000012,0.0722891566,0.4494427976,-0.1270692422,,
0.001422,0.000012,0.0763052209,0.4494427976,-0.1270692422,,
0.007269,0.000012,0.0803212851,0.4494427976,-0.1270692422,,
0.000044,0.000012,0.0843373494,0.4494427976,-0.1270692422,,
0.000163,0.000012,0.0883534137,0.4494427976,-0.1270692422,,
0.007335,0.000012,0.0923694779,0.4494427976,-0.1270692422,,
0.012781,0.000012,0.0963855422,0.4494427976,-0.1270692422,,
0.000038,0.000012,0.1004016064,0.4494427976,-0.1270692422,,
0.009201,0.000012,0.1044176707,0.4494427976,-0.1270692422,,
0.00002,0.000012,0.1084337349,0.4494427976,-0.1270692422,,
2.02027,0.000012,0.1124497992,0.4494427976,-0.1270692422,,
0.007755,0.000012,0.1164658635,0.4494427976,-0.1270692422,,
0.000043,0.000012,0.1204819277,0.4494427976,-0.1270692422,,
0.000146,0.000012,0.124497992,0.4494427976,-0.1270692422,,
0.007606,0.000012,0.1285140562,0.4494427976,-0.1270692422,,
0.000561,0.000012,0.1325301205,0.4494427976,-0.1270692422,,
0.00002,0.000012,0.1365461847,0.4494427976,-0.1270692422,,
1.047174,0.000012,0.140562249,0.4494427976,-0.1270692422,,
0.029172,0.000012,0.1445783133,0.4494427976,-0.1270692422,,
0.000046,0.000012,0.1485943775,0.4494427976,-0.1270692422,,
0.334598,0.000012,0.1526104418,0.4494427976,-0.1270692422,,
0.017709,0.000012,0.156626506,0.4494427976,-0.1270692422,,
0.000596,0.000012,0.1606425703,0.4494427976,-0.1270692422,,
0.000549,0.000012,0.1646586345,0.4494427976,-0.1270692422,,
0.001106,0.000012,0.1686746988,0.4494427976,-0.1270692422,,
0.000757,0.000012,0.1726907631,0.4494427976,-0.1270692422,,
0.003955,0.000012,0.1767068273,0.4494427976,-0.1270692422,,
0.00005,0.000012,0.1807228916,0.4494427976,-0.1270692422,,
0.004085,0.000012,0.1847389558,0.4494427976,-0.1270692422,,
