"No.","Time","Source","Destination","Length","Info","tcp_dstport","tcp_srcport","udp_dstport","udp_srcport","Protocol","sport","dport"
"153","12.056147000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"154","12.077882000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"155","12.077902000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"156","12.078337000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"157","12.104318000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"158","12.124920000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"189","12.178143000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"190","12.178345000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"220","12.378276000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"221","12.378572000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"239","12.503646000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"246","12.584563000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"247","12.605250000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"262","12.778210000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"263","12.778461000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"288","12.838695000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"289","12.870101000","128.119.247.197","173.194.207.127","201","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"296","12.897887000","128.119.247.197","173.194.207.127","151","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"306","12.914485000","128.119.247.197","173.194.207.127","108","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"315","12.928420000","128.119.247.197","173.194.207.127","154","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"318","12.959655000","128.119.247.197","173.194.207.127","153","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"319","12.988585000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"338","13.033472000","173.194.207.127","128.119.247.197","964","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"355","13.064635000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"356","13.078223000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"358","13.085173000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"360","13.124586000","173.194.207.127","128.119.247.197","280","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"361","13.126820000","173.194.207.127","128.119.247.197","218","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"367","13.141753000","173.194.207.127","128.119.247.197","352","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"368","13.141911000","173.194.207.127","128.119.247.197","935","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"371","13.168493000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"373","13.288268000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"374","13.377778000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"375","13.468110000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"376","13.544936000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"377","13.552908000","173.194.207.127","128.119.247.197","280","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"378","13.565536000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"379","13.578128000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"380","13.579473000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"381","13.588733000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"382","13.677260000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"383","13.767846000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"385","13.888874000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"386","13.928712000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"387","13.978245000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"388","14.025231000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"389","14.045787000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"390","14.067955000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"395","14.187388000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"402","14.287532000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"403","14.320536000","128.119.247.197","173.194.207.127","201","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"404","14.347680000","128.119.247.197","173.194.207.127","135","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"405","14.368371000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"406","14.380072000","128.119.247.197","173.194.207.127","152","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"407","14.410842000","128.119.247.197","173.194.207.127","162","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"408","14.439198000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"410","14.491656000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"411","14.505426000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"412","14.525865000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"413","14.529279000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"414","14.578221000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"415","14.578549000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"416","14.619320000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"417","14.740077000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"426","14.830157000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"435","14.919384000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"437","14.985596000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"438","15.006108000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"439","15.038867000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"440","15.130526000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"446","15.220069000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"453","15.338582000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"454","15.427682000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"455","15.465895000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"456","15.486477000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"459","15.519499000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"460","15.578184000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"461","15.578474000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"462","15.638508000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"463","15.728464000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"464","15.775814000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"465","15.819847000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"466","15.938907000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"467","15.946042000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"468","15.966652000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"469","16.029977000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"470","16.119354000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"471","16.239828000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"473","16.329616000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"474","16.417898000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"475","16.426289000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"476","16.446931000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"477","16.539460000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"478","16.564442000","128.119.247.197","173.194.207.127","108","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"479","16.569810000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"480","16.578203000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"481","16.578487000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"482","16.629531000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"483","16.718102000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"484","16.839631000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"486","16.906589000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"487","16.927177000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"488","16.929302000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"489","17.019801000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"509","17.139581000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"511","17.228128000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"517","17.319645000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"524","17.386775000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"525","17.407389000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"526","17.439774000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"528","17.527831000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"529","17.578367000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"530","17.578624000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"531","17.618028000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"532","17.729562000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"533","17.738987000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"534","17.829607000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"535","17.866941000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"536","17.887464000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"537","17.917949000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"539","18.011534000","173.194.207.127","128.119.247.197","88","Source port: 19305  Destination port: 49949","49949","19305","49949","19305","UDP","19305","49949"
"540","18.038807000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"541","18.128571000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"542","18.220254000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"545","18.340348000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"546","18.347246000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"547","18.367716000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"548","18.428293000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"549","18.519350000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"550","18.578114000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
"551","18.578441000","128.119.247.197","173.194.207.127","110","Binding Success Response MAPPED-ADDRESS: 173.194.207.127:19305 user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","19305","49949","19305","49949","STUN","49949","19305"
"552","18.639279000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"553","18.728360000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"555","18.819052000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"556","18.827554000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"557","18.838584000","128.119.247.197","173.194.207.127","64","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"558","18.848246000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"559","18.939561000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"560","19.028213000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"561","19.118511000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"563","19.237434000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"564","19.307795000","128.119.247.197","173.194.207.127","98","Binding Request user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG","19305","49949","19305","49949","STUN","49949","19305"
"565","19.328400000","173.194.207.127","128.119.247.197","110","Binding Success Response user: MAWNlCedXTtPEzCWIa1b7iIgyrYicXIG XOR-MAPPED-ADDRESS: 128.119.247.197:49949","49949","19305","49949","19305","STUN","19305","49949"
"566","19.329275000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"571","19.418122000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"580","19.538071000","128.119.247.197","173.194.207.127","85","Source port: 49949  Destination port: 19305","19305","49949","19305","49949","UDP","49949","19305"
"581","19.578174000","173.194.207.127","128.119.247.197","98","Binding Request user: Ia1b7iIgyrYicXIGMAWNlCedXTtPEzCW","49949","19305","49949","19305","STUN","19305","49949"
