ip.len,frame.time_epoch,,,
782,1429224214.15673,42.1109469231,,
522,1429224214.16021,42.1109469232,,
,1429224214.21078,42.1109469237,,86400
115,1429224214.57044,42.1109469279,,
52,1429224214.57048,42.1109469279,,
52,1429224214.57084,42.1109469279,,
52,1429224214.57791,42.110946928,,
,1429224214.61065,42.1109469284,,
522,1429224214.65931,42.1109469289,,
,1429224214.91072,42.1109469318,,
,1429224215.6107,42.1109469399,,
522,1429224215.65941,42.1109469405,,
,1429224216.31071,42.110946948,,
52,1429224216.86748,42.1109469545,,
52,1429224216.87419,42.1109469546,,
,1429224216.93199,42.1109469552,,
111,1429224217.00504,42.1109469561,,
52,1429224217.00508,42.1109469561,,
949,1429224217.21056,42.1109469585,,
98,1429224217.21068,42.1109469585,,
52,1429224217.21738,42.1109469585,,
52,1429224217.21741,42.1109469585,,
98,1429224217.21751,42.1109469585,,
52,1429224217.25546,42.110946959,,
289,1429224217.27399,42.1109469592,,
52,1429224217.27403,42.1109469592,,
90,1429224217.27405,42.1109469592,,
52,1429224217.27406,42.1109469592,,
98,1429224217.27406,42.1109469592,,
52,1429224217.27407,42.1109469592,,
98,1429224217.2754,42.1109469592,,
52,1429224217.32265,42.1109469598,,
,1429224217.47194,42.1109469615,,
522,1429224217.6596,42.1109469637,,
,1429224217.81063,42.1109469654,,
800,1429224217.91918,42.1109469667,,
502,1429224217.91938,42.1109469667,,
52,1429224217.92604,42.1109469667,,
52,1429224217.92606,42.1109469667,,
167,1429224217.99031,42.1109469675,,
286,1429224217.99035,42.1109469675,,
98,1429224217.99036,42.1109469675,,
52,1429224217.99038,42.1109469675,,
98,1429224217.9922,42.1109469675,,
52,1429224217.99884,42.1109469676,,
,1429224218.41064,42.1109469723,,
,1429224218.61059,42.1109469747,,
,1429224219.01107,42.1109469793,,
,1429224219.3106,42.1109469828,,
147,1429224219.8546,42.1109469891,,
98,1429224219.85475,42.1109469891,,
147,1429224219.85497,42.1109469891,,
145,1429224219.85521,42.1109469891,,
145,1429224219.8554,42.1109469891,,
52,1429224219.86152,42.1109469891,,
52,1429224219.86159,42.1109469891,,
52,1429224219.86192,42.1109469891,,
52,1429224219.862,42.1109469891,,
98,1429224219.86208,42.1109469891,,
199,1429224219.89867,42.1109469896,,
52,1429224219.89871,42.1109469896,,
306,1429224219.89872,42.1109469896,,
98,1429224219.89876,42.1109469896,,
52,1429224219.89908,42.1109469896,,
98,1429224219.89993,42.1109469896,,
153,1429224219.90088,42.1109469896,,
328,1429224219.90091,42.1109469896,,
98,1429224219.90093,42.1109469896,,
52,1429224219.90096,42.1109469896,,
98,1429224219.90239,42.1109469896,,
148,1429224219.90593,42.1109469897,,
52,1429224219.90934,42.1109469897,,
,1429224219.91065,42.1109469897,,
,1429224219.91067,42.1109469897,,
101,1429224219.92011,42.1109469898,,
220,1429224219.92088,42.1109469898,,
52,1429224219.92093,42.1109469898,,
987,1429224219.92156,42.1109469898,,
98,1429224219.92157,42.1109469898,,
52,1429224219.92159,42.1109469898,,
98,1429224219.92181,42.1109469898,,
148,1429224219.94549,42.1109469901,,
52,1429224219.95255,42.1109469902,,
101,1429224219.97897,42.1109469905,,
252,1429224219.979,42.1109469905,,
52,1429224219.97906,42.1109469905,,
1259,1429224219.98053,42.1109469905,,
98,1429224219.98056,42.1109469905,,
52,1429224219.98059,42.1109469905,,
98,1429224219.9822,42.1109469905,,
147,1429224220.02813,42.1109469911,,
127,1429224220.02816,42.1109469911,,
52,1429224220.02823,42.1109469911,,
1130,1429224220.02915,42.1109469911,,
98,1429224220.02918,42.1109469911,,
52,1429224220.0298,42.1109469911,,
98,1429224220.03089,42.1109469911,,
101,1429224220.06751,42.1109469915,,
232,1429224220.06754,42.1109469915,,
52,1429224220.06761,42.1109469915,,
1106,1429224220.0694,42.1109469915,,
98,1429224220.06943,42.1109469915,,
52,1429224220.06946,42.1109469915,,
98,1429224220.07049,42.1109469916,,
52,1429224220.11738,42.1109469921,,
1085,1429224220.68721,42.1109469987,,
98,1429224220.68736,42.1109469987,,
1467,1429224220.6875,42.1109469987,,
52,1429224220.69429,42.1109469988,,
52,1429224220.69432,42.1109469988,,
98,1429224220.69441,42.1109469988,,
126,1429224220.7225,42.1109469991,,
296,1429224220.72253,42.1109469991,,
52,1429224220.7226,42.1109469991,,
178,1429224220.72358,42.1109469991,,
98,1429224220.7236,42.1109469991,,
52,1429224220.72394,42.1109469991,,
98,1429224220.72493,42.1109469991,,
52,1429224220.77178,42.1109469997,,
,1429224220.81073,42.1109470001,,
522,1429224221.65979,42.11094701,,
,1429224222.49503,42.1109470196,,
,1429224223.3106,42.1109470291,,
,1429224224.01053,42.1109470372,,
,1429224224.75235,42.1109470457,,
,1429224224.91055,42.1109470476,,
,1429224225.41054,42.1109470534,,
,1429224225.51052,42.1109470545,,
522,1429224225.66011,42.1109470563,,
,1429224226.01049,42.1109470603,,
1171,1429224226.02279,42.1109470604,,
52,1429224226.02965,42.1109470605,,
1123,1429224226.05218,42.1109470608,,
1204,1429224226.0523,42.1109470608,,
52,1429224226.05895,42.1109470609,,
52,1429224226.05908,42.1109470609,,
584,1429224226.05915,42.1109470609,,
493,1429224226.05925,42.1109470609,,
52,1429224226.06586,42.1109470609,,
52,1429224226.06589,42.1109470609,,
181,1429224226.12047,42.1109470616,,
1136,1429224226.12051,42.1109470616,,
98,1429224226.12052,42.1109470616,,
52,1429224226.12058,42.1109470616,,
98,1429224226.12187,42.1109470616,,
52,1429224226.12858,42.1109470617,,
173,1429224226.14394,42.1109470619,,
90,1429224226.14398,42.1109470619,,
98,1429224226.14399,42.1109470619,,
52,1429224226.14405,42.1109470619,,
98,1429224226.14602,42.1109470619,,
52,1429224226.19264,42.1109470624,,
84,1429224226.21287,42.1109470626,,
96,1429224226.23461,42.1109470629,,
84,1429224226.23463,42.1109470629,,
96,1429224226.23506,42.1109470629,,
84,1429224226.26105,42.1109470632,,
96,1429224226.28165,42.1109470634,,
73,1429224226.3127,42.1109470638,,
73,1429224226.31272,42.1109470638,,
65,1429224226.31281,42.1109470638,,
60,1429224226.31306,42.1109470638,,
61,1429224226.31329,42.1109470638,,
225,1429224226.31331,42.1109470638,,
225,1429224226.31336,42.1109470638,,
225,1429224226.31338,42.1109470638,,
268,1429224226.31361,42.1109470638,,
60,1429224226.31399,42.1109470638,,
60,1429224226.32003,42.1109470639,,
52,1429224226.32006,42.1109470639,,
272,1429224226.32034,42.1109470639,,
60,1429224226.32078,42.1109470639,,
52,1429224226.3208,42.1109470639,,
262,1429224226.32103,42.1109470639,,
52,1429224226.3272,42.110947064,,
52,1429224226.32792,42.110947064,,
1470,1429224226.3284,42.110947064,,
52,1429224226.32842,42.110947064,,
1470,1429224226.32852,42.110947064,,
52,1429224226.32853,42.110947064,,
1131,1429224226.32858,42.110947064,,
52,1429224226.32859,42.110947064,,
1470,1429224226.32873,42.110947064,,
52,1429224226.32875,42.110947064,,
1470,1429224226.32885,42.110947064,,
52,1429224226.32886,42.110947064,,
804,1429224226.32891,42.110947064,,
52,1429224226.32892,42.110947064,,
84,1429224226.33487,42.1109470641,,
96,1429224226.33507,42.1109470641,,
401,1429224226.3379,42.1109470641,,
314,1429224226.34954,42.1109470642,,
330,1429224226.35715,42.1109470643,,
108,1429224226.35718,42.1109470643,,
94,1429224226.35719,42.1109470643,,
158,1429224226.35724,42.1109470643,,
512,1429224226.35731,42.1109470643,,
98,1429224226.35732,42.1109470643,,
314,1429224226.36693,42.1109470644,,
52,1429224226.3674,42.1109470644,,
98,1429224226.36929,42.1109470645,,
94,1429224226.37227,42.1109470645,,
64,1429224226.3723,42.1109470645,,
346,1429224226.37473,42.1109470645,,
108,1429224226.37476,42.1109470645,,
94,1429224226.37476,42.1109470645,,
52,1429224226.37591,42.1109470645,,
94,1429224226.39071,42.1109470647,,
64,1429224226.39074,42.1109470647,,
178,1429224226.46008,42.1109470655,,
98,1429224226.46021,42.1109470655,,
52,1429224226.46683,42.1109470656,,
52,1429224226.46685,42.1109470656,,
98,1429224226.46686,42.1109470656,,
154,1429224226.48944,42.1109470659,,
90,1429224226.48947,42.1109470659,,
98,1429224226.48947,42.1109470659,,
52,1429224226.48953,42.1109470659,,
98,1429224226.49062,42.1109470659,,
84,1429224226.535,42.1109470664,,
96,1429224226.5353,42.1109470664,,
52,1429224226.537,42.1109470664,,
1090,1429224226.56079,42.1109470667,,
1139,1429224226.56135,42.1109470667,,
224,1429224226.56153,42.1109470667,,
499,1429224226.56168,42.1109470667,,
52,1429224226.56769,42.1109470668,,
52,1429224226.5682,42.1109470668,,
52,1429224226.56821,42.1109470668,,
52,1429224226.56834,42.1109470668,,
,1429224226.61052,42.1109470673,,
,1429224226.61228,42.1109470673,,
162,1429224226.6203,42.1109470674,,
833,1429224226.6204,42.1109470674,,
98,1429224226.62041,42.1109470674,,
52,1429224226.62056,42.1109470674,,
98,1429224226.62219,42.1109470674,,
52,1429224226.62883,42.1109470675,,
50,1429224226.66037,42.1109470678,,
590,1429224226.7063,42.1109470684,,
904,1429224226.70643,42.1109470684,,
111,1429224226.70963,42.1109470684,,
52,1429224226.70966,42.1109470684,,
52,1429224226.71312,42.1109470684,,
52,1429224226.71314,42.1109470684,,
84,1429224226.74129,42.1109470688,,
96,1429224226.76198,42.110947069,,
158,1429224226.7638,42.110947069,,
1071,1429224226.7639,42.110947069,,
98,1429224226.76391,42.110947069,,
52,1429224226.76407,42.110947069,,
98,1429224226.76583,42.110947069,,
52,1429224226.77246,42.1109470691,,
52,1429224226.85147,42.11094707,,
52,1429224226.87222,42.1109470703,,
159,1429224226.90859,42.1109470707,,
731,1429224226.90862,42.1109470707,,
98,1429224226.90863,42.1109470707,,
52,1429224226.90869,42.1109470707,,
98,1429224226.91034,42.1109470707,,
52,1429224226.91698,42.1109470708,,
84,1429224226.93494,42.110947071,,
96,1429224226.93519,42.110947071,,
258,1429224226.97473,42.1109470715,,
380,1429224226.97492,42.1109470715,,
476,1429224226.97502,42.1109470715,,
476,1429224226.9751,42.1109470715,,
250,1429224226.97816,42.1109470715,,
248,1429224226.97835,42.1109470715,,
253,1429224226.97931,42.1109470715,,
1457,1429224226.9795,42.1109470715,,
52,1429224226.98172,42.1109470715,,
52,1429224226.98174,42.1109470715,,
395,1429224226.98176,42.1109470715,,
395,1429224226.98189,42.1109470715,,
251,1429224226.9821,42.1109470716,,
257,1429224226.9823,42.1109470716,,
390,1429224226.9825,42.1109470716,,
1135,1429224226.98277,42.1109470716,,
400,1429224226.98291,42.1109470716,,
52,1429224226.9848,42.1109470716,,
1410,1429224226.98482,42.1109470716,,
52,1429224226.98526,42.1109470716,,
52,1429224226.98683,42.1109470716,,
52,1429224226.98912,42.1109470716,,
52,1429224226.99108,42.1109470717,,
52,1429224226.99306,42.1109470717,,
71,1429224226.99542,42.1109470717,,
187,1429224227.02683,42.1109470721,,
180,1429224227.0417,42.1109470722,,
238,1429224227.04173,42.1109470722,,
98,1429224227.04174,42.1109470722,,
52,1429224227.04177,42.1109470722,,
98,1429224227.04321,42.1109470723,,
52,1429224227.04981,42.1109470723,,
137,1429224227.05461,42.1109470724,,
159,1429224227.06537,42.1109470725,,
633,1429224227.06539,42.1109470725,,
98,1429224227.0654,42.1109470725,,
52,1429224227.06542,42.1109470725,,
98,1429224227.06708,42.1109470725,,
157,1429224227.06977,42.1109470726,,
427,1429224227.0698,42.1109470726,,
98,1429224227.06981,42.1109470726,,
52,1429224227.06984,42.1109470726,,
94,1429224227.07121,42.1109470726,,
98,1429224227.07136,42.1109470726,,
370,1429224227.0756,42.1109470726,,
700,1429224227.07564,42.1109470726,,
98,1429224227.07565,42.1109470726,,
52,1429224227.07566,42.1109470726,,
98,1429224227.07706,42.1109470727,,
822,1429224227.08282,42.1109470727,,
253,1429224227.08299,42.1109470727,,
140,1429224227.08515,42.1109470727,,
52,1429224227.0852,42.1109470727,,
52,1429224227.09053,42.1109470728,,
139,1429224227.11638,42.1109470731,,
71,1429224227.14531,42.1109470734,,
158,1429224227.18164,42.1109470739,,
572,1429224227.18191,42.1109470739,,
98,1429224227.18192,42.1109470739,,
155,1429224227.18276,42.1109470739,,
553,1429224227.18278,42.1109470739,,
98,1429224227.18279,42.1109470739,,
52,1429224227.18303,42.1109470739,,
159,1429224227.18307,42.1109470739,,
776,1429224227.18316,42.1109470739,,
98,1429224227.18317,42.1109470739,,
52,1429224227.18322,42.1109470739,,
98,1429224227.1873,42.1109470739,,
98,1429224227.18753,42.1109470739,,
98,1429224227.18771,42.1109470739,,
283,1429224227.18952,42.110947074,,
264,1429224227.18955,42.110947074,,
98,1429224227.18956,42.110947074,,
52,1429224227.18995,42.110947074,,
950,1429224227.1902,42.110947074,,
98,1429224227.19177,42.110947074,,
52,1429224227.19449,42.110947074,,
158,1429224227.19717,42.110947074,,
226,1429224227.19719,42.110947074,,
98,1429224227.1972,42.110947074,,
52,1429224227.19816,42.1109470741,,
158,1429224227.20104,42.1109470741,,
453,1429224227.20106,42.1109470741,,
98,1429224227.20107,42.1109470741,,
52,1429224227.20278,42.1109470741,,
98,1429224227.20387,42.1109470741,,
98,1429224227.204,42.1109470741,,
729,1429224227.20886,42.1109470742,,
395,1429224227.20931,42.1109470742,,
52,1429224227.21066,42.1109470742,,
52,1429224227.21666,42.1109470743,,
84,1429224227.22136,42.1109470743,,
71,1429224227.23495,42.1109470745,,
52,1429224227.23546,42.1109470745,,
96,1429224227.2419,42.1109470746,,
52,1429224227.24226,42.1109470746,,
266,1429224227.28131,42.110947075,,
204,1429224227.28355,42.110947075,,
158,1429224227.2849,42.1109470751,,
805,1429224227.28641,42.1109470751,,
98,1429224227.28643,42.1109470751,,
52,1429224227.28644,42.1109470751,,
98,1429224227.28712,42.1109470751,,
338,1429224227.29848,42.1109470752,,
921,1429224227.29864,42.1109470752,,
,1429224227.31048,42.1109470754,,
,1429224227.3105,42.1109470754,,
71,1429224227.32522,42.1109470755,,
52,1429224227.33413,42.1109470756,,
71,1429224227.445,42.1109470769,,
71,1429224227.5345,42.1109470779,,
71,1429224227.62484,42.110947079,,
84,1429224227.70166,42.1109470799,,
266,1429224227.70964,42.11094708,,
96,1429224227.72226,42.1109470801,,
84,1429224227.73486,42.1109470803,,
96,1429224227.7362,42.1109470803,,
71,1429224227.74546,42.1109470804,,
71,1429224227.83399,42.1109470814,,
71,1429224227.92457,42.1109470825,,
,1429224228.01046,42.1109470835,,
71,1429224228.0456,42.1109470839,,
50,1429224228.08544,42.1109470843,,
71,1429224228.13497,42.1109470849,,
84,1429224228.18196,42.1109470854,,
96,1429224228.20251,42.1109470857,,
71,1429224228.22468,42.1109470859,,
392,1429224228.30796,42.1109470869,,
476,1429224228.30811,42.1109470869,,
52,1429224228.31462,42.110947087,,
52,1429224228.31484,42.110947087,,
71,1429224228.34412,42.1109470873,,
181,1429224228.41058,42.1109470881,,
792,1429224228.41066,42.1109470881,,
98,1429224228.41068,42.1109470881,,
52,1429224228.41105,42.1109470881,,
98,1429224228.41261,42.1109470881,,
52,1429224228.41929,42.1109470882,,
71,1429224228.44426,42.1109470885,,
187,1429224228.47726,42.1109470889,,
121,1429224228.50441,42.1109470892,,
50,1429224228.5251,42.1109470894,,
138,1429224228.5368,42.1109470895,,
148,1429224228.56757,42.1109470899,,
71,1429224228.59593,42.1109470902,,
,1429224228.61045,42.1109470904,,
50,1429224228.64838,42.1109470908,,
84,1429224228.66215,42.110947091,,
96,1429224228.68259,42.1109470912,,
71,1429224228.68601,42.1109470913,,
84,1429224228.73495,42.1109470918,,
96,1429224228.73528,42.1109470918,,
71,1429224228.77605,42.1109470923,,
71,1429224228.8968,42.1109470937,,
175,1429224228.9514,42.1109470943,,
98,1429224228.95161,42.1109470943,,
1470,1429224228.95174,42.1109470943,,
303,1429224228.95175,42.1109470943,,
52,1429224228.95845,42.1109470944,,
52,1429224228.95848,42.1109470944,,
98,1429224228.9585,42.1109470944,,
52,1429224228.9589,42.1109470944,,
71,1429224228.98688,42.1109470948,,
52,1429224228.99546,42.1109470949,,
160,1429224229.04079,42.1109470954,,
52,1429224229.04085,42.1109470954,,
462,1429224229.04085,42.1109470954,,
52,1429224229.04086,42.1109470954,,
98,1429224229.04086,42.1109470954,,
52,1429224229.04088,42.1109470954,,
98,1429224229.04192,42.1109470954,,
71,1429224229.07611,42.1109470958,,
52,1429224229.08839,42.1109470959,,
84,1429224229.14232,42.1109470966,,
96,1429224229.16284,42.1109470968,,
71,1429224229.19559,42.1109470972,,
71,1429224229.28725,42.1109470982,,
1142,1429224229.3038,42.1109470984,,
395,1429224229.30396,42.1109470984,,
,1429224229.31049,42.1109470985,,
52,1429224229.31068,42.1109470985,,
52,1429224229.31071,42.1109470985,,
71,1429224229.3768,42.1109470993,,
181,1429224229.39009,42.1109470994,,
693,1429224229.39017,42.1109470994,,
98,1429224229.39018,42.1109470994,,
52,1429224229.39128,42.1109470994,,
98,1429224229.39213,42.1109470994,,
52,1429224229.39881,42.1109470995,,
71,1429224229.49531,42.1109471006,,
71,1429224229.58441,42.1109471017,,
84,1429224229.62262,42.1109471021,,
96,1429224229.6432,42.1109471024,,
522,1429224229.65933,42.1109471025,,
,1429224229.66609,42.1109471026,,
71,1429224229.67623,42.1109471027,,
84,1429224229.73491,42.1109471034,,
96,1429224229.7352,42.1109471034,,
71,1429224229.79524,42.1109471041,,
71,1429224229.88519,42.1109471052,,
50,1429224229.93254,42.1109471057,,
71,1429224229.97657,42.1109471062,,
71,1429224230.09563,42.1109471076,,
84,1429224230.10277,42.1109471077,,
96,1429224230.12338,42.1109471079,,
71,1429224230.1867,42.1109471086,,
71,1429224230.27608,42.1109471097,,
71,1429224230.39656,42.1109471111,,
,1429224230.41042,42.1109471112,,
71,1429224230.48634,42.1109471121,,
71,1429224230.57463,42.1109471131,,
84,1429224230.58302,42.1109471132,,
96,1429224230.60366,42.1109471135,,
71,1429224230.69619,42.1109471145,,
94,1429224230.72117,42.1109471148,,
50,1429224230.72654,42.1109471149,,
84,1429224230.73493,42.110947115,,
96,1429224230.73521,42.110947115,,
71,1429224230.78626,42.1109471156,,
71,1429224230.87483,42.1109471166,,
71,1429224230.99636,42.110947118,,
,1429224231.01043,42.1109471182,,
84,1429224231.06332,42.1109471188,,
96,1429224231.0839,42.110947119,,
71,1429224231.08603,42.1109471191,,
71,1429224231.17653,42.1109471201,,
800,1429224231.22783,42.1109471207,,
98,1429224231.22798,42.1109471207,,
2888,1429224231.22808,42.1109471207,,
106,1429224231.22809,42.1109471207,,
2888,1429224231.22821,42.1109471207,,
106,1429224231.22822,42.1109471207,,
1173,1429224231.22835,42.1109471207,,
52,1429224231.23483,42.1109471208,,
52,1429224231.23486,42.1109471208,,
52,1429224231.2351,42.1109471208,,
98,1429224231.23511,42.1109471208,,
52,1429224231.23608,42.1109471208,,
126,1429224231.2699,42.1109471212,,
52,1429224231.26993,42.1109471212,,
344,1429224231.26994,42.1109471212,,
227,1429224231.27086,42.1109471212,,
98,1429224231.27087,42.1109471212,,
52,1429224231.27122,42.1109471212,,
98,1429224231.27226,42.1109471212,,
71,1429224231.29631,42.1109471215,,
52,1429224231.31873,42.1109471217,,
71,1429224231.38486,42.1109471225,,
,1429224231.39639,42.1109471226,,
253,1429224231.40543,42.1109471227,,
395,1429224231.40559,42.1109471227,,
52,1429224231.41207,42.1109471228,,
52,1429224231.41241,42.1109471228,,
71,1429224231.47637,42.1109471236,,
181,1429224231.51001,42.110947124,,
751,1429224231.51009,42.110947124,,
98,1429224231.5101,42.110947124,,
52,1429224231.51022,42.110947124,,
98,1429224231.51183,42.110947124,,
52,1429224231.51848,42.1109471241,,
84,1429224231.5435,42.1109471243,,
96,1429224231.56412,42.1109471246,,
71,1429224231.5965,42.110947125,,
,1429224231.6104,42.1109471251,,
71,1429224231.68456,42.110947126,,
84,1429224231.73509,42.1109471266,,
96,1429224231.73535,42.1109471266,,
71,1429224231.77476,42.110947127,,
50,1429224231.88629,42.1109471283,,
71,1429224231.89571,42.1109471284,,
71,1429224231.98633,42.1109471295,,
84,1429224232.02367,42.1109471299,,
96,1429224232.04419,42.1109471301,,
71,1429224232.07468,42.1109471305,,
,1429224232.11046,42.1109471309,,
74,1429224232.16826,42.1109471316,,
71,1429224232.19553,42.1109471319,,
71,1429224232.2853,42.1109471329,,
71,1429224232.37698,42.110947134,,
,1429224232.41039,42.1109471344,,
,1429224232.46137,42.110947135,,
71,1429224232.49708,42.1109471354,,
84,1429224232.50397,42.1109471355,,
96,1429224232.52444,42.1109471357,,
71,1429224232.58502,42.1109471364,,
71,1429224232.67608,42.1109471375,,
84,1429224232.73484,42.1109471381,,
96,1429224232.73517,42.1109471381,,
71,1429224232.79601,42.1109471388,,
71,1429224232.88509,42.1109471399,,
,1429224232.91043,42.1109471402,,
71,1429224232.97578,42.1109471409,,
84,1429224232.98428,42.110947141,,
50,1429224232.99531,42.1109471411,,
96,1429224233.00497,42.1109471413,,
71,1429224233.09629,42.1109471423,,
71,1429224233.18494,42.1109471433,,
71,1429224233.27524,42.1109471444,,
,1429224233.3114,42.1109471448,,
71,1429224233.39416,42.1109471458,,
84,1429224233.46452,42.1109471466,,
96,1429224233.48513,42.1109471468,,
71,1429224233.486,42.1109471468,,
253,1429224233.52324,42.1109471473,,
395,1429224233.52353,42.1109471473,,
52,1429224233.53006,42.1109471473,,
52,1429224233.53013,42.1109471473,,
71,1429224233.57485,42.1109471479,,
178,1429224233.6024,42.1109471482,,
622,1429224233.60243,42.1109471482,,
98,1429224233.60244,42.1109471482,,
52,1429224233.60248,42.1109471482,,
98,1429224233.60374,42.1109471482,,
52,1429224233.61046,42.1109471483,,
,1429224233.61136,42.1109471483,,
522,1429224233.65957,42.1109471488,,
71,1429224233.6948,42.1109471492,,
84,1429224233.7349,42.1109471497,,
96,1429224233.73519,42.1109471497,,
50,1429224233.77593,42.1109471502,,
71,1429224233.78634,42.1109471503,,
71,1429224233.87573,42.1109471513,,
84,1429224233.94477,42.1109471521,,
96,1429224233.96527,42.1109471524,,
71,1429224233.99462,42.1109471527,,
71,1429224234.08714,42.1109471538,,
94,1429224234.12871,42.1109471543,,
,1429224234.17644,42.1109471548,,
71,1429224234.17706,42.1109471548,,
50,1429224234.17758,42.1109471548,,
,1429224234.21362,42.1109471553,,
71,1429224234.29662,42.1109471562,,
71,1429224234.38492,42.1109471572,,
84,1429224234.42505,42.1109471577,,
96,1429224234.44573,42.1109471579,,
71,1429224234.47483,42.1109471583,,
,1429224234.51335,42.1109471587,,
71,1429224234.5951,42.1109471597,,
71,1429224234.68474,42.1109471607,,
84,1429224234.73507,42.1109471613,,
96,1429224234.73536,42.1109471613,,
71,1429224234.77519,42.1109471618,,
,1429224234.81339,42.1109471622,,
148,1429224234.8238,42.1109471623,,
98,1429224234.82406,42.1109471623,,
147,1429224234.8243,42.1109471623,,
145,1429224234.82447,42.1109471623,,
145,1429224234.8246,42.1109471623,,
52,1429224234.83076,42.1109471624,,
52,1429224234.83079,42.1109471624,,
52,1429224234.83115,42.1109471624,,
98,1429224234.83117,42.1109471624,,
52,1429224234.83177,42.1109471624,,
52,1429224234.86748,42.1109471628,,
199,1429224234.86943,42.1109471628,,
52,1429224234.86948,42.1109471628,,
487,1429224234.86949,42.1109471628,,
52,1429224234.8695,42.1109471628,,
98,1429224234.86951,42.1109471628,,
52,1429224234.86953,42.1109471628,,
98,1429224234.87105,42.1109471629,,
148,1429224234.87564,42.1109471629,,
153,1429224234.87857,42.1109471629,,
492,1429224234.8786,42.1109471629,,
98,1429224234.87861,42.1109471629,,
52,1429224234.87863,42.1109471629,,
98,1429224234.88003,42.110947163,,
148,1429224234.88618,42.110947163,,
52,1429224234.88686,42.110947163,,
101,1429224234.88765,42.1109471631,,
168,1429224234.8879,42.1109471631,,
52,1429224234.88852,42.1109471631,,
933,1429224234.88966,42.1109471631,,
98,1429224234.88968,42.1109471631,,
52,1429224234.88973,42.1109471631,,
98,1429224234.8912,42.1109471631,,
71,1429224234.89645,42.1109471632,,
52,1429224234.89815,42.1109471632,,
84,1429224234.90523,42.1109471633,,
96,1429224234.9259,42.1109471635,,
101,1429224234.95003,42.1109471638,,
256,1429224234.95005,42.1109471638,,
52,1429224234.95013,42.1109471638,,
1072,1429224234.95139,42.1109471638,,
98,1429224234.95142,42.1109471638,,
52,1429224234.95146,42.1109471638,,
98,1429224234.95266,42.1109471638,,
71,1429224234.98639,42.1109471642,,
147,1429224234.99833,42.1109471643,,
143,1429224234.99836,42.1109471643,,
52,1429224234.99843,42.1109471643,,
1265,1429224235.00108,42.1109471644,,
98,1429224235.00111,42.1109471644,,
52,1429224235.00114,42.1109471644,,
98,1429224235.00217,42.1109471644,,
101,1429224235.00871,42.1109471645,,
232,1429224235.00874,42.1109471645,,
52,1429224235.00877,42.1109471645,,
1138,1429224235.01029,42.1109471645,,
98,1429224235.01031,42.1109471645,,
52,1429224235.01062,42.1109471645,,
98,1429224235.01236,42.1109471645,,
94,1429224235.01331,42.1109471645,,
52,1429224235.02105,42.1109471646,,
52,1429224235.04346,42.1109471649,,
52,1429224235.05017,42.1109471649,,
71,1429224235.07541,42.1109471652,,
,1429224235.11334,42.1109471657,,
71,1429224235.19505,42.1109471666,,
71,1429224235.28455,42.1109471676,,
71,1429224235.37782,42.1109471687,,
84,1429224235.38535,42.1109471688,,
96,1429224235.40601,42.1109471691,,
71,1429224235.49666,42.1109471701,,
71,1429224235.58704,42.1109471711,,
252,1429224235.61597,42.1109471715,,
395,1429224235.61612,42.1109471715,,
52,1429224235.62269,42.1109471716,,
52,1429224235.6228,42.1109471716,,
,1429224235.62678,42.1109471716,,
50,1429224235.63825,42.1109471717,,
159,1429224235.64257,42.1109471718,,
949,1429224235.64272,42.1109471718,,
52,1429224235.64966,42.1109471719,,
52,1429224235.64986,42.1109471719,,
71,1429224235.67528,42.1109471722,,
