frame.time_epoch	ip.src	ip.dst	ip.len	tcp.dstport	tcp.srcport	udp.dstport	udp.srcport	frame.protocols
1429224205.436404000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224205.462082000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224205.498152000	10.3.40.217	239.255.255.250	513			1900	1900	eth:ip:udp:http
1429224205.498646000						1900	1900	eth:ipv6:udp:http
1429224205.677174000						5355	55317	eth:ipv6:udp:dns
1429224205.677697000	10.3.40.145	224.0.0.252	51			5355	55317	eth:ip:udp:dns
1429224205.677872000						5355	57516	eth:ipv6:udp:dns
1429224205.678137000	10.3.40.145	224.0.0.252	51			5355	57516	eth:ip:udp:dns
1429224205.699965000	10.3.40.121	239.255.255.250	161			1900	56451	eth:ip:udp:http
1429224205.755742000	10.3.40.217	239.255.255.250	527			1900	1900	eth:ip:udp:http
1429224205.756517000						1900	1900	eth:ipv6:udp:http
1429224205.854205000	10.3.40.122	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224205.875843000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224206.016226000	10.3.40.145	10.3.255.255	78			137	137	eth:ip:udp:nbns
1429224206.273068000	10.3.40.121	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224206.767234000	10.3.40.145	10.3.255.255	78			137	137	eth:ip:udp:nbns
1429224206.781003000	10.3.40.217	239.255.255.250	513			1900	1900	eth:ip:udp:http
1429224206.782063000						1900	1900	eth:ipv6:udp:http
1429224206.823332000						5355	58784	eth:ipv6:udp:dns
1429224206.823776000	10.3.40.145	224.0.0.252	62			5355	58784	eth:ip:udp:dns
1429224206.824558000						5355	52223	eth:ipv6:udp:dns
1429224206.824931000	10.3.40.145	224.0.0.252	62			5355	52223	eth:ip:udp:dns
1429224207.060603000	10.3.40.145	224.0.0.251	32					eth:ip:igmp
1429224207.241226000						5355	58784	eth:ipv6:udp:dns
1429224207.241285000						5355	52223	eth:ipv6:udp:dns
1429224207.241559000	10.3.40.145	224.0.0.252	62			5355	52223	eth:ip:udp:dns
1429224207.241755000	10.3.40.145	224.0.0.252	62			5355	58784	eth:ip:udp:dns
1429224207.979030000	10.3.40.145	239.255.255.250	125			1900	51219	eth:ip:udp:http
1429224208.002154000	10.3.40.217	239.255.255.250	461			1900	1900	eth:ip:udp:http
1429224208.002719000						1900	1900	eth:ipv6:udp:http
1429224208.883242000	10.3.40.28	10.3.40.145	418			51219	1900	eth:ip:udp:http
1429224209.614483000	10.3.40.121	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224209.614754000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224209.823353000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224209.980849000	10.3.40.145	173.194.123.33	41	443	59783			eth:ip:tcp:ssl
1429224209.989455000	173.194.123.33	10.3.40.145	52	59783	443			eth:ip:tcp
1429224210.047488000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224210.113974000	10.3.40.122	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224210.979135000	10.3.40.145	239.255.255.250	125			1900	51219	eth:ip:udp:http
1429224211.389992000	10.3.40.121	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224212.330636000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224212.520214000	10.3.40.145	10.3.255.255	78			137	137	eth:ip:udp:nbns
1429224212.521150000						5355	56565	eth:ipv6:udp:dns
1429224212.521588000	10.3.40.145	224.0.0.252	51			5355	56565	eth:ip:udp:dns
1429224212.522410000						5355	58067	eth:ipv6:udp:dns
1429224212.522825000	10.3.40.145	224.0.0.252	51			5355	58067	eth:ip:udp:dns
1429224212.583719000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224212.643455000	10.3.40.228	224.0.0.252	51			5355	62037	eth:ip:udp:dns
1429224212.656782000						5355	54331	eth:ipv6:udp:dns
1429224212.657229000	10.3.40.145	224.0.0.252	62			5355	54331	eth:ip:udp:dns
1429224212.658016000						5355	51045	eth:ipv6:udp:dns
1429224212.658429000	10.3.40.145	224.0.0.252	62			5355	51045	eth:ip:udp:dns
1429224212.935949000						5355	58067	eth:ipv6:udp:dns
1429224212.935979000						5355	56565	eth:ipv6:udp:dns
1429224212.936270000	10.3.40.145	224.0.0.252	51			5355	56565	eth:ip:udp:dns
1429224212.936436000	10.3.40.145	224.0.0.252	51			5355	58067	eth:ip:udp:dns
1429224213.070751000						5355	51045	eth:ipv6:udp:dns
1429224213.070795000						5355	54331	eth:ipv6:udp:dns
1429224213.071062000	10.3.40.145	224.0.0.252	62			5355	54331	eth:ip:udp:dns
1429224213.071247000	10.3.40.145	224.0.0.252	62			5355	51045	eth:ip:udp:dns
1429224213.082767000	10.3.40.228	224.0.0.252	51			5355	62037	eth:ip:udp:dns
1429224213.113274000	10.3.40.28	10.3.40.145	418			51219	1900	eth:ip:udp:http
1429224213.121207000	10.3.40.122	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224213.192657000	10.3.40.84	239.255.255.250	161			1900	64948	eth:ip:udp:http
1429224213.270054000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224213.270084000	10.3.40.145	10.3.255.255	78			137	137	eth:ip:udp:nbns
1429224213.343526000	10.3.40.237	224.0.0.251	111			5353	5353	eth:ip:udp:dns
1429224214.021486000	10.3.40.145	10.3.255.255	78			137	137	eth:ip:udp:nbns
1429224214.040131000	10.3.40.145	173.194.123.54	135	443	59793			eth:ip:tcp:ssl
1429224214.040517000	10.3.40.145	173.194.123.54	86	443	59793			eth:ip:tcp:ssl
1429224214.043469000	10.3.40.145	173.194.123.54	133	443	59793			eth:ip:tcp:ssl
1429224214.044414000	10.3.40.145	173.194.123.54	134	443	59793			eth:ip:tcp:ssl
1429224214.047027000	10.3.40.145	173.194.123.54	134	443	59793			eth:ip:tcp:ssl
1429224214.048620000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.049334000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.049607000	173.194.123.54	10.3.40.145	86	59793	443			eth:ip:tcp:ssl
1429224214.055713000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.096232000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.103308000	10.3.40.145	173.194.123.54	40	443	59793			eth:ip:tcp
1429224214.107360000	173.194.123.54	10.3.40.145	135	59793	443			eth:ip:tcp:ssl
1429224214.107785000	173.194.123.54	10.3.40.145	125	59793	443			eth:ip:tcp:ssl
1429224214.107787000	173.194.123.54	10.3.40.145	1090	59793	443			eth:ip:tcp:ssl
1429224214.107788000	173.194.123.54	10.3.40.145	86	59793	443			eth:ip:tcp:ssl
1429224214.107913000	10.3.40.145	173.194.123.54	40	443	59793			eth:ip:tcp
1429224214.108431000	10.3.40.145	173.194.123.54	86	443	59793			eth:ip:tcp:ssl
1429224214.117036000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.189168000	173.194.123.54	10.3.40.145	89	59793	443			eth:ip:tcp:ssl
1429224214.189408000	173.194.123.54	10.3.40.145	188	59793	443			eth:ip:tcp:ssl
1429224214.189514000	10.3.40.145	173.194.123.54	40	443	59793			eth:ip:tcp
1429224214.189870000	173.194.123.54	10.3.40.145	89	59793	443			eth:ip:tcp:ssl
1429224214.189872000	173.194.123.54	10.3.40.145	239	59793	443			eth:ip:tcp:ssl
1429224214.189873000	173.194.123.54	10.3.40.145	89	59793	443			eth:ip:tcp:ssl
1429224214.189874000	173.194.123.54	10.3.40.145	303	59793	443			eth:ip:tcp:ssl
1429224214.189975000	10.3.40.145	173.194.123.54	40	443	59793			eth:ip:tcp
1429224214.198506000	173.194.123.54	10.3.40.145	1470	59793	443			eth:ip:tcp:ssl
1429224214.199012000	173.194.123.54	10.3.40.145	1470	59793	443			eth:ip:tcp:ssl:ssl
1429224214.199018000	173.194.123.54	10.3.40.145	475	59793	443			eth:ip:tcp:ssl:ssl
1429224214.199063000	10.3.40.145	173.194.123.54	86	443	59793			eth:ip:tcp:ssl
1429224214.199297000	10.3.40.145	173.194.123.54	40	443	59793			eth:ip:tcp
1429224214.200735000	10.3.40.145	173.194.123.54	86	443	59793			eth:ip:tcp:ssl
1429224214.201100000	10.3.40.145	173.194.123.54	86	443	59793			eth:ip:tcp:ssl
1429224214.207915000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.209040000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.210046000	173.194.123.54	10.3.40.145	40	59793	443			eth:ip:tcp
1429224214.235450000	10.3.40.173	224.0.0.251	68			5353	5353	eth:ip:udp:dns
1429224215.012094000	10.3.40.145	239.255.255.250	125			1900	51219	eth:ip:udp:http
1429224215.015080000	10.3.40.145	10.3.40.122	52	2869	60307			eth:ip:tcp
1429224215.016011000	10.3.40.145	10.3.40.28	52	2869	60308			eth:ip:tcp
1429224215.017071000	10.3.40.145	10.3.40.217	52	2869	60309			eth:ip:tcp
1429224215.018094000	10.3.40.145	10.3.40.209	52	2869	60310			eth:ip:tcp
1429224215.019148000	10.3.40.145	10.3.40.217	52	2869	60311			eth:ip:tcp
1429224215.019440000	10.3.40.28	10.3.40.145	52	60308	2869			eth:ip:tcp
1429224215.019629000	10.3.40.145	10.3.40.28	40	2869	60308			eth:ip:tcp
1429224215.019833000	10.3.40.145	10.3.40.28	293	2869	60308			eth:ip:tcp:http
1429224215.020169000	10.3.40.217	10.3.40.145	52	60309	2869			eth:ip:tcp
1429224215.020248000	10.3.40.145	10.3.40.121	52	2869	60312			eth:ip:tcp
1429224215.020319000	10.3.40.145	10.3.40.217	40	2869	60309			eth:ip:tcp
1429224215.020481000	10.3.40.145	10.3.40.217	294	2869	60309			eth:ip:tcp:http
1429224215.022309000	10.3.40.217	10.3.40.145	52	60311	2869			eth:ip:tcp
